iter	Passed	Remaining
407	2957	4291
408	2962	4280
409	2967	4270
410	2973	4261
411	2979	4251
412	2985	4242
413	2990	4233
414	2996	4223
415	3001	4213
416	3006	4203
417	3012	4194
418	3017	4183
419	3022	4173
420	3027	4163
421	3032	4153
422	3037	4143
423	3043	4134
424	3048	4124
425	3053	4113
426	3058	4103
427	3063	4093
428	3068	4084
429	3074	4075
430	3079	4065
431	3084	4055
432	3089	4045
433	3094	4035
434	3096	4022
435	3102	4012
436	3107	4003
437	3112	3993
438	3117	3984
439	3122	3974
440	3128	3965
441	3133	3956
442	3139	3947
443	3144	3938
444	3149	3928
445	3155	3919
446	3161	3910
447	3166	3901
448	3171	3892
449	3178	3884
450	3184	3876
451	3191	3869
452	3199	3863
453	3206	3856
454	3212	3847
455	3220	3842
456	3226	3833
457	3232	3825
458	3237	3816
459	3243	3807
460	3249	3798
461	3254	3789
462	3259	3780
463	3265	3772
464	3271	3763
465	3276	3754
466	3283	3747
467	3289	3739
468	3298	3734
469	3303	3725
470	3309	3716
471	3315	3708
472	3320	3699
473	3325	3690
474	3332	3682
475	3337	3673
476	3342	3664
477	3347	3656
478	3354	3648
479	3359	3639
480	3365	3631
481	3370	3622
482	3376	3613
483	3382	3605
484	3387	3597
485	3393	3589
486	3399	3580
487	3404	3571
488	3410	3563
489	3415	3555
490	3421	3546
491	3427	3539
492	3432	3530
493	3439	3522
494	3444	3514
495	3450	3505
496	3456	3498
497	3464	3491
498	3469	3483
499	3475	3475
500	3481	3467
501	3488	3460
502	3493	3451
503	3498	3443
504	3504	3435
505	3510	3426
506	3515	3418
507	3521	3410
508	3526	3402
509	3533	3394
510	3538	3386
511	3543	3377
512	3550	3370
513	3555	3362
514	3561	3353
515	3568	3346
516	3573	3338
517	3578	3330
518	3584	3322
519	3590	3313
520	3598	3308
521	3604	3300
522	3610	3292
523	3615	3284
524	3621	3276
525	3627	3268
526	3632	3260
527	3638	3252
528	3644	3245
529	3650	3236
530	3655	3228
531	3661	3220
532	3666	3212
533	3672	3204
534	3677	3196
535	3683	3188
536	3689	3180
537	3695	3173
538	3700	3165
539	3707	3157
540	3712	3149
541	3717	3141
542	3724	3134
543	3732	3128
544	3738	3121
545	3744	3113
546	3750	3105
547	3756	3098
548	3762	3090
549	3770	3084
550	3776	3077
551	3781	3068
552	3787	3061
553	3793	3053
554	3798	3045
555	3804	3038
556	3809	3030
557	3815	3022
558	3821	3014
559	3826	3006
560	3832	2999
561	3838	2991
562	3845	2984
563	3850	2976
564	3855	2968
565	3860	2960
566	3866	2952
567	3871	2944
568	3877	2936
569	3882	2928
570	3887	2920
571	3892	2912
572	3899	2905
573	3904	2897
574	3910	2890
575	3916	2882
576	3921	2874
577	3927	2867
578	3932	2859
579	3937	2851
580	3943	2843
581	3948	2835
582	3953	2827
583	3958	2819
584	3963	2811
585	3968	2803
586	3975	2796
587	3980	2789
588	3985	2781
589	3990	2773
590	3995	2765
591	4001	2757
592	4006	2749
593	4011	2741
594	4016	2733
595	4021	2725
596	4026	2717
597	4031	2710
598	4036	2702
599	4041	2694
600	4046	2686
601	4051	2678
602	4056	2670
603	4061	2663
604	4067	2655
605	4072	2647
606	4077	2640
607	4083	2632
608	4088	2624
609	4093	2617
610	4098	2609
611	4104	2602
612	4109	2594
613	4114	2586
614	4119	2578
615	4124	2571
616	4129	2563
617	4135	2556
618	4140	2548
619	4145	2541
620	4151	2533
621	4156	2526
622	4161	2518
623	4166	2510
624	4171	2502
625	4176	2495
626	4181	2487
627	4186	2479
628	4191	2472
629	4198	2465
630	4209	2461
631	4216	2454
632	4235	2455
633	4242	2449
634	4249	2442
635	4254	2435
636	4260	2427
637	4265	2420
638	4271	2412
639	4277	2406
640	4283	2399
641	4292	2393
642	4298	2386
643	4303	2378
644	4309	2372
645	4314	2364
646	4320	2357
647	4325	2349
648	4331	2342
649	4336	2334
650	4341	2327
651	4346	2320
652	4352	2312
653	4357	2305
654	4363	2298
655	4368	2290
656	4374	2283
657	4379	2276
658	4384	2268
659	4390	2261
660	4395	2254
661	4401	2247
662	4406	2239
663	4411	2232
664	4417	2225
665	4422	2217
666	4427	2210
667	4435	2204
668	4441	2197
669	4453	2193
670	4462	2188
671	4471	2182
672	4479	2176
673	4484	2169
674	4489	2161
675	4496	2154
676	4502	2148
677	4508	2141
678	4519	2136
679	4526	2130
680	4532	2123
681	4537	2115
682	4545	2109
683	4551	2102
684	4556	2095
685	4562	2088
686	4567	2081
687	4573	2074
688	4579	2066
689	4584	2059
690	4589	2052
691	4596	2045
692	4602	2038
693	4607	2031
694	4612	2024
695	4618	2017
696	4623	2009
697	4628	2002
698	4635	1996
699	4641	1989
700	4656	1986
701	4662	1979
702	4668	1972
703	4674	1965
704	4680	1958
705	4688	1952
706	4693	1945
707	4699	1938
708	4704	1930
709	4709	1923
710	4714	1916
711	4719	1909
712	4725	1901
713	4731	1895
714	4736	1887
715	4741	1880
716	4746	1873
717	4751	1866
718	4756	1859
719	4762	1852
720	4767	1844
721	4773	1837
722	4778	1830
723	4783	1823
724	4789	1816
725	4795	1810
726	4801	1803
727	4806	1795
728	4812	1788
729	4817	1781
730	4821	1774
731	4827	1767
732	4832	1760
733	4837	1753
734	4843	1746
735	4848	1739
736	4853	1732
737	4859	1725
738	4865	1718
739	4871	1711
740	4876	1704
741	4882	1697
742	4888	1690
743	4894	1683
744	4899	1676
745	4905	1670
746	4910	1663
747	4915	1656
748	4921	1649
749	4926	1642
750	4931	1635
751	4938	1628
752	4943	1621
753	4952	1615
754	4961	1609
755	4967	1603
756	4974	1596
757	4979	1589
758	4986	1583
759	4991	1576
760	4997	1569
761	5002	1562
762	5007	1555
763	5013	1548
764	5018	1541
765	5024	1534
766	5030	1528
767	5036	1521
768	5043	1515
769	5052	1509
770	5057	1502
771	5065	1495
772	5070	1488
773	5075	1482
774	5081	1475
775	5087	1468
776	5093	1461
777	5098	1454
778	5103	1447
779	5109	1441
780	5114	1434
781	5120	1427
782	5125	1420
783	5131	1413
784	5136	1406
785	5142	1400
786	5147	1393
787	5153	1386
788	5158	1379
789	5163	1372
790	5169	1365
791	5174	1359
792	5179	1352
793	5185	1345
794	5190	1338
795	5195	1331
796	5201	1324
797	5206	1317
798	5211	1311
799	5216	1304
800	5222	1297
801	5227	1290
802	5232	1283
803	5238	1276
804	5243	1270
805	5248	1263
806	5253	1256
807	5259	1249
808	5266	1243
809	5271	1236
810	5276	1229
811	5282	1223
812	5287	1216
813	5293	1209
814	5298	1202
815	5303	1195
816	5308	1189
817	5314	1182
818	5319	1175
819	5324	1168
820	5329	1161
821	5334	1155
822	5339	1148
823	5344	1141
824	5350	1134
825	5355	1128
826	5360	1121
827	5367	1114
828	5372	1108
829	5378	1101
830	5383	1094
831	5388	1088
832	5394	1081
833	5399	1074
834	5404	1067
835	5409	1061
836	5415	1054
837	5420	1047
838	5425	1041
839	5430	1034
840	5436	1027
841	5441	1021
842	5446	1014
843	5452	1007
844	5457	1001
845	5462	994
846	5467	987
847	5472	980
848	5478	974
849	5483	967
850	5488	961
851	5494	954
852	5500	947
853	5505	941
854	5511	934
855	5516	928
856	5521	921
857	5527	914
858	5532	908
859	5537	901
860	5543	894
861	5548	888
862	5553	881
863	5558	874
864	5564	868
865	5569	861
866	5574	855
867	5579	848
868	5585	841
869	5590	835
870	5595	828
871	5601	822
872	5606	815
873	5611	808
874	5616	802
875	5622	795
876	5627	789
877	5632	782
878	5637	776
879	5642	769
880	5647	762
881	5653	756
882	5658	749
883	5663	743
884	5668	736
885	5673	730
886	5678	723
887	5683	716
888	5688	710
889	5694	703
890	5699	697
891	5704	690
892	5710	684
893	5715	677
894	5720	671
895	5725	664
896	5730	658
897	5735	651
898	5740	644
899	5746	638
900	5752	632
901	5757	625
902	5763	619
903	5768	612
904	5773	606
905	5778	599
906	5783	593
907	5788	586
908	5793	580
909	5799	573
910	5804	567
911	5810	560
912	5816	554
913	5822	547
914	5827	541
915	5832	534
916	5838	528
917	5843	521
918	5849	515
919	5854	509
920	5860	502
921	5865	496
922	5871	489
923	5876	483
924	5883	477
925	5889	470
926	5897	464
927	5907	458
928	5916	452
929	5926	446
930	5935	439
931	5940	433
932	5946	426
933	5951	420
934	5956	414
935	5962	407
936	5967	401
937	5973	394
938	5978	388
939	5984	381
940	5993	375
941	6001	369
942	6007	363
943	6014	356
944	6019	350
945	6025	343
946	6031	337
947	6036	331
948	6042	324
949	6047	318
950	6052	311
951	6057	305
952	6062	299
953	6067	292
954	6073	286
955	6078	279
956	6083	273
957	6088	266
958	6093	260
959	6098	254
960	6104	247
961	6109	241
962	6114	234
963	6120	228
964	6125	222
965	6131	215
966	6138	209
967	6143	203
968	6148	196
969	6153	190
970	6159	183
971	6164	177
972	6169	171
973	6174	164
974	6179	158
975	6184	152
976	6190	145
977	6195	139
978	6200	133
979	6205	126
980	6211	120
981	6216	113
982	6221	107
983	6227	101
984	6232	94
985	6237	88
986	6242	82
987	6248	75
988	6253	69
989	6258	63
990	6264	56
991	6270	50
992	6275	44
993	6280	37
994	6285	31
995	6290	25
996	6295	18
997	6300	12
998	6305	6
999	6311	0
