iter	Logloss
0	0.6842561904
1	0.6774818864
2	0.670062157
3	0.6619685786
4	0.6560056305
5	0.6473314412
6	0.6406534593
7	0.6346636005
8	0.6279586766
9	0.62034318
10	0.6146150717
11	0.6091146051
12	0.6032688454
13	0.5970362139
14	0.5906786835
15	0.5854522698
16	0.5807412879
17	0.5757204622
18	0.5715971196
19	0.5678335584
20	0.5633261802
21	0.558360624
22	0.5542020187
23	0.5492236129
24	0.5457661203
25	0.5411592496
26	0.536822964
27	0.532984768
28	0.529665782
29	0.5258552659
30	0.5230109188
31	0.5192631615
32	0.516875959
33	0.5144215794
34	0.511340314
35	0.5074746323
36	0.5043529972
37	0.5020692049
38	0.4996740301
39	0.4960913801
40	0.4933278318
41	0.4912334886
42	0.4883817802
43	0.4850137916
44	0.4818711969
45	0.4789499822
46	0.4769698432
47	0.4745430854
48	0.4723346847
49	0.4696077898
50	0.4675348854
51	0.4654511214
52	0.4633319516
53	0.461055831
54	0.459361948
55	0.4576744461
56	0.455472108
57	0.4534248389
58	0.4515554643
59	0.4494413781
60	0.4474799778
61	0.4452923444
62	0.4435219529
63	0.4413740081
64	0.4395407265
65	0.4378831897
66	0.4360995028
67	0.434902975
68	0.4330299566
69	0.4317753654
70	0.4307530032
71	0.4291464354
72	0.4277044546
73	0.4267956518
74	0.4250084713
75	0.4231370033
76	0.4216632154
77	0.4202428972
78	0.4192307718
79	0.4182711663
80	0.4177389486
81	0.4165297836
82	0.4152366273
83	0.4135010909
84	0.4121775715
85	0.4112522586
86	0.4094599212
87	0.4082077423
88	0.4067536811
89	0.405479129
90	0.4045213631
91	0.4033118561
92	0.4021177882
93	0.4008624021
94	0.3991917006
95	0.3979204539
96	0.3968195762
97	0.3958229574
98	0.3949442096
99	0.3937422747
100	0.3923724468
101	0.3913579851
102	0.3898828735
103	0.3887742529
104	0.3876053919
105	0.3863464701
106	0.3854361406
107	0.3843576216
108	0.3833016072
109	0.3819347865
110	0.3805279924
111	0.3795099643
112	0.378918066
113	0.3779431534
114	0.3770352867
115	0.3757032291
116	0.3750756496
117	0.3741206205
118	0.3729787307
119	0.3723095465
120	0.3714960026
121	0.370736952
